
Requirements,Tests,Executions,Defects
IAIS-7 - Create Leave Entitlements ,None,None,None
IAIS-2 - Create Configure whitin Leave Module - 1 defect,IAIS-27 - Verify options of work day field can be selected from dropdown of each field,Configure tests  - FAIL,IAIS-28 - In Progress - Dropdown button not responding - step
IAIS-2 - Create Configure whitin Leave Module - 1 defect,IAIS-29 - Verify functionality calendar options in fields from Holidays,Configure tests  - FAIL,IAIS-34 - In Progress - Search button dosen't work - step
IAIS-2 - Create Configure whitin Leave Module,IAIS-16 - Verify only users with admin rights are able to define the Period Leave,Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module,IAIS-19 -  Leave Period should display mandatory fields,Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module,IAIS-25 - Verify Work Week functionality,Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module,IAIS-15 - Verify Leave Period options,Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module - 1 defect,IAIS-17 - Verify that a user with no admin rights cannot complete the Leave Period,Configure tests  - PASS,IAIS-18 - Done - User with no admin rights complete Leave Period - step
IAIS-2 - Create Configure whitin Leave Module,IAIS-21 - Verify button add on Leave types,Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module - 1 defect,IAIS-22 - Verify Leave Types added appeared in the list,Configure tests  - PASS,IAIS-23 - Done - Button Save not responding - step
IAIS-2 - Create Configure whitin Leave Module,IAIS-26 - All fields by day of week should be mandatory,Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module - 1 defect,"IAIS-30 - Add a new Holiday from button ""Add""",Configure tests  - PASS,IAIS-35 - Done - Leave module blocked - step
IAIS-2 - Create Configure whitin Leave Module,IAIS-24 - Verify checkbox entries from Leave types,Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module,"IAIS-13 -  Configure functionality should appear after accessing the ""Leave"" module",Configure tests  - PASS,None
IAIS-2 - Create Configure whitin Leave Module,IAIS-20 - StartMonth and StartDate can only by define from the dropdown menu,Configure tests  - PASS,None
IAIS-1 - Create Leave Module for OrangeHRM.com,None,None,None
