ExecutionId,CycleName,FolderName,Issue Key,Test Summary,Project,Component,Version,Priority,Executed By,Executed On,ExecutionStatus,ExecutionDefects,CreationDate,Assigned To,Custom Fields,Work Flow Status,Total Execution Time,Total Logged Time,StepId,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Step Custom Fields
0e7ae2ef-0d41-488c-b8e6-f0adde3f146d,Configure tests,,IAIS-13,"Configure functionality should appear after accessing the ""Leave"" module",Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:27,PASS,,25-08-24 15:54,,,,,,b5064379-53ba-4018-9849-b5486e4dec34,1,Open browser,N/A,Browser is opened,PASS,,
0e7ae2ef-0d41-488c-b8e6-f0adde3f146d,Configure tests,,IAIS-13,"Configure functionality should appear after accessing the ""Leave"" module",Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:27,PASS,,25-08-24 15:54,,,,,,7462fe31-2682-4889-ba5b-898c5e5569a2,2,Access the OrangeHrm application,N/A,The application is accessed,PASS,,
0e7ae2ef-0d41-488c-b8e6-f0adde3f146d,Configure tests,,IAIS-13,"Configure functionality should appear after accessing the ""Leave"" module",Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:27,PASS,,25-08-24 15:54,,,,,,ff901810-25f9-4b9b-8ae7-71bed3bf3100,3,Log in with valid email and valid password,username:Admin password: admin123,User is logged in successfully,PASS,,
0e7ae2ef-0d41-488c-b8e6-f0adde3f146d,Configure tests,,IAIS-13,"Configure functionality should appear after accessing the ""Leave"" module",Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:27,PASS,,25-08-24 15:54,,,,,,56b8f277-1323-4995-a14a-3ea39306f1e2,4,"Access the ""Leave"" module",N/A,"The ""Leave"" module is successfully accessed",PASS,,
0e7ae2ef-0d41-488c-b8e6-f0adde3f146d,Configure tests,,IAIS-13,"Configure functionality should appear after accessing the ""Leave"" module",Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:27,PASS,,25-08-24 15:54,,,,,,2976d048-4343-4eba-be1b-152485d47e1f,5,Access Configure,N/A,Configure is accessed and required options are displayed,PASS,,
0e7ae2ef-0d41-488c-b8e6-f0adde3f146d,Configure tests,,IAIS-13,"Configure functionality should appear after accessing the ""Leave"" module",Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:27,PASS,,25-08-24 15:54,,,,,,c43c58e9-4924-407f-8dbf-72aaeb5ea290,6,Log out and close browser,N/A,User is logged out and browser is closed successfully.,PASS,,
ef538a73-5c26-452e-98fe-f00e0358f234,Configure tests,,IAIS-15,Verify Leave Period options,Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:55,PASS,,26-08-24 19:44,,,,,,5f3a5b33-9d82-460d-844a-26b5e75f07fe,1,Access OrangeHrm application and log in with valid credentials,username:Admin password:admin123,OrangeHrm is accessed and user is logged in successfully,PASS,,
ef538a73-5c26-452e-98fe-f00e0358f234,Configure tests,,IAIS-15,Verify Leave Period options,Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:55,PASS,,26-08-24 19:44,,,,,,96c41f00-17be-4e8f-810b-9cd1eb758ce4,2,Access the Leave module,,Leave module is accessed successfully,PASS,,
ef538a73-5c26-452e-98fe-f00e0358f234,Configure tests,,IAIS-15,Verify Leave Period options,Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:55,PASS,,26-08-24 19:44,,,,,,58f9b7b1-8866-461b-b30a-8d170dbdbe8d,3,Access Configure,,Configure is accessed and the main options are displayed successfully,PASS,,
ef538a73-5c26-452e-98fe-f00e0358f234,Configure tests,,IAIS-15,Verify Leave Period options,Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:55,PASS,,26-08-24 19:44,,,,,,d3e56a7e-5e01-4d3d-9a08-09bca7714d7a,4,Access Leave Period,,Leave Period is accessed and the screen period is displayed,PASS,,
ef538a73-5c26-452e-98fe-f00e0358f234,Configure tests,,IAIS-15,Verify Leave Period options,Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,26-08-24 19:55,PASS,,26-08-24 19:44,,,,,,22b8e1ed-7af6-4f47-8912-c6338e541ad1,5,Log out,,User is logged out successfully,PASS,,
93227c5d-65c7-4ec4-9ea4-1228144e3a33,Configure tests,,IAIS-16,Verify only users with admin rights are able to define the Period Leave,Iorga Anamaria-Isabela_ST6,,v1.0,High,IT Factory,26-08-24 20:08,PASS,,26-08-24 19:59,,,,,,b669a1f9-f9f5-4a57-8ecd-9425b24ce4a1,1,Access OrangeHrm application and log in with valid credentials,username: Admin123 password:admin123,OrangeHrm is accessed and user  is logged in successfully,PASS,,
93227c5d-65c7-4ec4-9ea4-1228144e3a33,Configure tests,,IAIS-16,Verify only users with admin rights are able to define the Period Leave,Iorga Anamaria-Isabela_ST6,,v1.0,High,IT Factory,26-08-24 20:08,PASS,,26-08-24 19:59,,,,,,a344a4e5-d741-46da-aa8a-f2915c2782ca,2,Access the Leave module,,Leave module is accessed successfully,PASS,,
93227c5d-65c7-4ec4-9ea4-1228144e3a33,Configure tests,,IAIS-16,Verify only users with admin rights are able to define the Period Leave,Iorga Anamaria-Isabela_ST6,,v1.0,High,IT Factory,26-08-24 20:08,PASS,,26-08-24 19:59,,,,,,a11207d7-5388-4a61-8950-1c30591fbaf9,3,Access Configure,,Configure is accessed successfully,PASS,,
93227c5d-65c7-4ec4-9ea4-1228144e3a33,Configure tests,,IAIS-16,Verify only users with admin rights are able to define the Period Leave,Iorga Anamaria-Isabela_ST6,,v1.0,High,IT Factory,26-08-24 20:08,PASS,,26-08-24 19:59,,,,,,14bf4dc3-cb3b-4fde-8bf0-e6321f1800e1,4,Access Leave Period,,Leave Period is accessed successfully,PASS,,
93227c5d-65c7-4ec4-9ea4-1228144e3a33,Configure tests,,IAIS-16,Verify only users with admin rights are able to define the Period Leave,Iorga Anamaria-Isabela_ST6,,v1.0,High,IT Factory,26-08-24 20:08,PASS,,26-08-24 19:59,,,,,,6325d3a0-e5c1-49e1-bee3-a19412297f50,5,Define Leave Period as a user with admin rights,,Leave Period is successfuly defined by a user with admin rights and saved,PASS,,
93227c5d-65c7-4ec4-9ea4-1228144e3a33,Configure tests,,IAIS-16,Verify only users with admin rights are able to define the Period Leave,Iorga Anamaria-Isabela_ST6,,v1.0,High,IT Factory,26-08-24 20:08,PASS,,26-08-24 19:59,,,,,,dc54a81e-f77f-411c-8214-af3983b0a05b,6,Logout,,User is successfully logged out,PASS,,
7f7591d1-f704-4972-9bfc-3413242242c1,Configure tests,,IAIS-17,Verify that a user with no admin rights cannot complete the Leave Period,Iorga Anamaria-Isabela_ST6,,v1.0,Medium,IT Factory,27-08-24 20:59,PASS,| IAIS-18,26-08-24 20:10,IT Factory,,,,,1929b373-ec6f-43aa-8847-dac8560c2a51,1,Access OrangeHrm application,N/A,Application opened successfully,PASS,,
